0047, 702, 494, 766, 558, 81.78, frouge
0063, 39, 585, 135, 681, 91.34, danger
0063, 442, 390, 506, 454, 85.32, ceder
0063, 0, 0, 96, 96, 84.91, danger
0070, 316, 616, 336, 647, 99.89, interdiction
0070, 81, 181, 494, 537, 99.56, ceder
0070, 182, 585, 200, 615, 99.16, interdiction
0074, 208, 233, 786, 812, 97.31, interdiction
0074, 116, 0, 158, 26, 92.48, interdiction
0074, 263, 438, 479, 654, 92.44, interdiction
0080, 130, 260, 194, 324, 94.08, interdiction
0080, 234, 208, 298, 272, 93.54, interdiction
0080, 0, 676, 64, 740, 92.99, interdiction
0084, 338, 260, 402, 324, 90.34, danger
0084, 650, 286, 714, 350, 87.39, forange
0084, 546, 624, 610, 688, 85.51, interdiction
0087, 373, 621, 389, 644, 99.92, interdiction
0087, 172, 234, 536, 555, 99.65, ceder
0087, 156, 286, 220, 350, 84.94, danger
0099, 409, 473, 847, 972, 99.79, danger
0099, 526, 468, 670, 612, 98.25, danger
0099, 546, 702, 642, 798, 97.11, danger
0113, 357, 527, 389, 572, 99.86, interdiction
0113, 290, 593, 322, 638, 99.81, interdiction
0113, 263, 0, 587, 324, 99.7, danger
0128, 260, 650, 324, 714, 70.87, ceder
0128, 390, 754, 454, 818, 68.19, danger
0128, 78, 936, 142, 1000, 67.05, danger
0133, 910, 416, 974, 480, 90.69, ceder
0133, 884, 442, 948, 506, 88.95, danger
0133, 858, 442, 922, 506, 79.11, ceder
0140, 614, 293, 650, 319, 97.94, danger
0140, 585, 78, 681, 174, 94.83, interdiction
0140, 568, 79, 661, 173, 93.54, obligation
0141, 832, 234, 896, 298, 96.35, interdiction
0141, 624, 39, 720, 135, 96.24, interdiction
0141, 832, 260, 896, 324, 96.21, interdiction
0153, 582, 537, 598, 560, 99.98, interdiction
0153, 381, 199, 695, 479, 99.72, ceder
0153, 184, 581, 203, 601, 99.4, interdiction
0155, 442, 468, 506, 532, 70.77, fvert
0165, 533, 237, 573, 296, 99.89, interdiction
0165, 429, 390, 525, 486, 99.31, danger
0165, 446, 399, 617, 593, 99.02, interdiction
0173, 286, 234, 350, 298, 99.76, danger
0173, 364, 0, 428, 64, 92.63, interdiction
0173, 416, 0, 480, 64, 79.53, interdiction
0174, 312, 598, 376, 662, 83.11, forange
0189, 650, 390, 714, 454, 92.4, ceder
0189, 136, 303, 243, 317, 89.39, danger
0189, 598, 208, 662, 272, 83.82, frouge
0198, 539, 162, 596, 261, 99.92, interdiction
0198, 741, 585, 837, 681, 77.52, forange
0221, 624, 429, 720, 525, 91.9, frouge
0221, 520, 624, 584, 688, 68.33, danger
0227, 517, 419, 604, 554, 99.85, interdiction
0227, 161, 556, 180, 612, 97.86, interdiction
0227, 234, 182, 298, 246, 93.65, interdiction
